name,action,industry,country,yaleGrade
Norwegian Cruise Lines,discontinue Russian itineraries,Consumer Discretionary,United States,A
NTT Data,exit Russia,Information Technology,Japan,A
OBI,exit Russian market completely,Consumer Discretionary,Germany,A
Oceania Cruises,discontinue Russian itineraries,Consumer Discretionary,United States,A
Oerlikon,sell Russian operations,Materials,Switzerland,A
Omnicom Media Group,exit Russian operations,Communication Services,United States,A
OneWeb,suspend use of Russian airspace,Communication Services,United States,A
Orkla,exit Russian operations,Consumer Staples,Norway,A
Orlen Lietuva,stopped Russian oil imports,Energy,Poland,A
Owens Corning,expedite exit from Russia,Industrials,United States,A
Parker Hannifin,closed our office and warehouse facility in Moscow and no longer do business in this country,Industrials,United States,A
Paulig,withdraw from Russia,Consumer Staples,Finland,A
Pensioenfonds Detailhandel,sell off all Russian investments,Financials,Netherlands,A
Pentair,exiting its business in Russia,Industrials,United States,A
PFZW,divest from all Russian assets,Financials,Netherlands,A
PGL Esports,exclusion of esports teams and individuals with connections to the Russian government from upcoming competition,Communication Services,United States,A
PKO BP,suspends transactions with Russian banks transactions in Russian ruble suspended,Financials,Poland,A
PME pensioenfonds,sell off all Russian investments,Financials,Netherlands,A
Polskie Górnictwo Naftowe i Gazownictwo SA,stopped gaz imports,Energy,Poland,A
Ponsse PLC,divest Russian operations,Industrials,Finland,A
Prio,ceased purchase of any products from Russian or directly related companies,Energy,Portugal,A
Publicis Groupe,cede ownership to local affiliates,Communication Services,France,A
PwC,leaving Russia completely,Industrials,United States,A
PZU SA,reduced position in Russian bonds to zero,Financials,Poland,A
Qantas Airlines,no longer flies over Russian territory,Industrials,Australia,A
R&A,ban on all Russian competition,Industrials,United States,A
Reckitt Benckiser Group,begins a process aimed at transferring ownership of its Russia business,Consumer Staples,United Kingdom,A
Red Hat,discontinue sales and services in Russia & terminate partnerships,Information Technology,United States,A
Regent Seven Seas Cruises,discontinue Russian itineraries,Consumer Discretionary,United States,A
Renault,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production,Consumer Discretionary,France,A
Rewe,remove products from Russia from shelves,Consumer Discretionary,Germany,A
Rimi,remove products from Russia from shelves,Consumer Discretionary,Latvia,A
Rio Tinto,terminate all commercial relationships with Russia,Materials,Australia,A
Rocket Lawyer,suspend Russian and Belarusian access to the platform,Information Technology,United States,A
Roku,remove Kremlin-linked propaganda and ads,Communication Services,United States,A
Roland Berger,end any activity for Russia,Industrials,Germany,A
S Group (Suomen Osuuskauppojen Keskuskunta),close all operations,Consumer Staples,Finland,A
S&P 500 [S&P Dow Jones Indices],curtail Russian access to capital markets,Financials,United States,A
Salesforce,exit business relationships in Russia,Industrials,United States,A
Sarantis Group,Permanent withdrawal from Russian market,Consumer Staples,Greece,A
Savills,end partnerships in Russia,Real Estate,United Kingdom,A
Schneider Electric,sell Russian assets to local management and exit completely,Industrials,France,A
Shell,total withdrawal from virtually all Russia-related businesses,Energy,United Kingdom,A
Sidley Austin,end all Russian relationships,Industrials,United States,A
Siemens,exit Russian market,Industrials,Germany,A
SKF,end sales and production in Russia,Industrials,Sweden,A
Slack,exit Russian market completely,Information Technology,United States,A
SMAY,end cooperation with Russia,Industrials,Poland,A
Smurfit Kappa,exit Russian market,Materials,Ireland,A
Societe Generale,cessation of all activities in Russia,Financials,France,A
Sodexo,ceded control of its operations in Russia,Industrials,France,A
Sonos,ceased all sales to this market at the onset of the war and blocked Russian state radio,Consumer Discretionary,United States,A
Squire Patton Boggs,leave Russia,Industrials,United States,A
Stanley Black & Decker,shut down Russian business,Industrials,United States,A
Starbucks,exit and no longer have a brand presence in Russia,Consumer Discretionary,United States,A
State Street,curtail Russian access to capital markets,Financials,United States,A
Stora Enso,divest packaging plants,Materials,Finland,A
Storebrand,divest all Russian holdings,Financials,Norway,A
Strabag,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska,Industrials,Austria,A
Sulzer,exit Russian market,Industrials,Switzerland,A
Svenska Handelsbanken,divest from all Russian investments,Financials,Sweden,A
Sylvamo,Sold operations in Russia,Materials,United States,A
Systembolaget,remove all Russian alcohol from stores,Consumer Discretionary,Sweden,A
Sæplast,Stopped all operations in Russia,Materials,Iceland,A
Tata Steel,replaced all Russian raw materials for operations; no presence in Russia,Materials,India,A
Tchibo,sell Russian subsidiary,Consumer Staples,Germany,A
TeamViewer,withdraw from Russia/Belarus,Information Technology,Germany,A
Teknotherm Marine HVAC sp. z o.o.,complete withdrawal from Russia,Industrials,Poland,A
Teradata,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.,Information Technology,United States,A
Tietoevry,conclude total exit from Russia,Information Technology,Finland,A
TJ Maxx,divest Familia subsidiary,Consumer Discretionary,United States,A
Trane Technologies,suspend all business activities indefinitely & exit Russia,Industrials,Ireland,A
TripAdvisor,remove Kremlin-linked propaganda and ads,Communication Services,United States,A
Triumph Motorcycles,Discontinued commerical activity in Russia,Consumer Discretionary,United Kingdom,A
TUI,end brand-sharing agreement; had already exited,Consumer Discretionary,Germany,A
Tunnock's,discontinue supplies to Russia,Consumer Staples,United Kingdom,A
Uber,divest from partnership with Yandex,Information Technology,United States,A
UEFA,ban Russian athletes from competing,NGO,Switzerland,A
Umbro,withdrawal from the Russian market,Consumer Discretionary,United Kingdom,A
United Airlines,no flying over Russian airspace,Industrials,United States,A
United Internet Group,suspend all Russian contracts,Information Technology,Germany,A
Universal,closing operations in Russia,Communication Services,United States,A
Vaillant Group,Terminated business activities in Russia,Industrials,Germany,A
Valio,sell business and Viola brand to Velcom,Consumer Staples,Finland,A
Valmet,exit from Russia,Industrials,Finland,A
Vanguard,suspend operations in Russia,Financials,United States,A
Velux,permanently close operations in Russia and Belarus,Consumer Discretionary,Denmark,A
Vestas,continue operations but no new contracts,Energy,Denmark,A
Vianor,terminate contract with Russian subsidiary,Consumer Discretionary,Finland,A
Vičiūnai,selling Russian operations and exiting Russia,Consumer Staples,Lithuania,A
Vinmonopolet,"stop sales of all Russian wine, spirits and strong beers in Norway",Consumer Staples,Norway,A
Vitol,stop buying Russian oil by the end of 2022,Energy,Switzerland,A
Vodafone,suspend partner agreement with MTS,Information Technology,United Kingdom,A
Volaris Group,discontinue sales and support to Russia,Information Technology,Canada,A
Volfas Engelman,suspend investment and withdraw from Russian market,Consumer Staples,Lithuania,A
Waitrose,remove products from Russia,Consumer Staples,United Kingdom,A
Walker's Shortbread,cancel all future orders to Russia,Consumer Staples,United Kingdom,A
Wargaming,close operations; transfer of some business,Consumer Discretionary,Belarus,A
Wear Medicine,terminate cooperation with Russian partners,Consumer Discretionary,Poland,A
Weir Group,wind down Russian business in 2022,Industrials,United Kingdom,A
WePlay,terminate all Russian operations,Consumer Discretionary,United States,A
WeWork,planning divestment of Russian operations,Real Estate,United States,A
Wex Inc.,ending relationship with Lukoil and subsidiaries,Information Technology,United States,A
White & Case,wind down Russian operations,Industrials,United States,A
Willis Towers Watson,fully exit Russia and transfer ownership to local management,Financials,United Kingdom,A
Winston & Strawn,close Russian office,Industrials,United States,A
Women's Tennis Association,suspend Russian partnerships,NGO,United States,A
World Athletics Council,ban on all Russian competition,NGO,United States,A
World Boxing Association,ban on all Russian competition,NGO,Panama,A
World Boxing Organization,ban on all Russian competition,NGO,United States,A
World Rowing Federation,ban on all Russian competition,NGO,United States,A
World Rugby Union,ban on all Russian competition,NGO,Ireland,A
WPP PLC,leave Russia,Communication Services,United Kingdom,A
YIT,exits Russia projects,Industrials,Finland,A
Zurich Insurance Group,sell Russian business to local team and exit market,Financials,Switzerland,A
